# Testing 7776 configurations 
# Reading [30] trace.out files from [../parrot-traces/polybench-v0.1-normal/]
# -> Parrot_l1_2mm.latency_trace.out
# -> Parrot_l1_jacobi-2d.latency_trace.out
# -> Parrot_l1_mvt.latency_trace.out
# -> Parrot_l1_floyd-warshall.latency_trace.out
# -> Parrot_l1_trisolv.latency_trace.out
# -> Parrot_l1_deriche.latency_trace.out
# -> Parrot_l1_symm.latency_trace.out
# -> Parrot_l1_syr2k.latency_trace.out
# -> Parrot_l1_nussinov.latency_trace.out
# -> Parrot_l1_heat-3d.latency_trace.out
# -> Parrot_l1_doitgen.latency_trace.out
# -> Parrot_l1_covariance.latency_trace.out
# -> Parrot_l1_trmm.latency_trace.out
# -> Parrot_l1_lu.latency_trace.out
# -> Parrot_l1_bicg.latency_trace.out
# -> Parrot_l1_3mm.latency_trace.out
# -> Parrot_l1_cholesky.latency_trace.out
# -> Parrot_l1_seidel-2d.latency_trace.out
# -> Parrot_l1_jacobi-1d.latency_trace.out
# -> Parrot_l1_gemver.latency_trace.out
# Done loading files.
pct acc threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
0.531408 1.7225 0.5 100000 5 20 250 5 0.5 8
0.570386 3.45064 0.5 100000 4 15 1000 5 0.5 4
0.655917 6.20241 0.4 200000 4 10 500 5 2 8
0.482545 1.65856 0.5 200000 5 15 1000 10 1 8
0.545078 3.0057 0.4 100000 3 15 1000 10 1 6
0.53219 1.63711 0.4 100000 4 20 250 10 1 10
0.700531 5.87485 0.4 200000 3 15 1000 5 2 6
0.529356 2.95954 0.4 200000 5 20 500 10 0.5 6
0.593491 4.3293 0.5 100000 3 20 1000 10 2 10
0.748413 8.88046 0.4 200000 3 10 250 5 2 4
0.601103 4.90777 0.5 200000 4 15 500 10 1 4
0.595967 4.83658 0.5 200000 5 10 250 10 1 6
0.542183 3.094 0.4 100000 4 10 500 10 1 8
0.542495 3.23669 0.5 100000 5 10 500 5 0.5 6
0.490609 1.57222 0.5 200000 3 20 1000 10 0.5 10
0.606283 4.95201 0.4 200000 4 20 250 5 2 10
0.613483 4.68514 0.4 100000 5 10 1000 10 2 4
0.534784 3.03073 0.4 200000 5 10 1000 10 0.5 4
0.593071 4.01898 0.4 100000 5 20 500 10 2 6
0.476482 1.85389 0.5 200000 3 15 250 10 0.5 8
0.531251 1.72602 0.5 100000 5 20 250 5 0.5 10
0.542473 1.89058 0.5 100000 4 15 1000 5 0.5 6
0.482545 1.65856 0.5 200000 5 15 1000 10 1 10
0.544723 2.95947 0.4 100000 3 15 1000 10 1 8
0.612072 5.00177 0.4 200000 4 10 500 5 2 10
0.590679 4.71637 0.4 200000 3 15 1000 5 2 8
0.505163 2.91558 0.4 200000 5 20 500 10 0.5 8
0.558416 4.89771 0.5 200000 4 15 500 10 1 6
0.671339 6.28001 0.4 100000 4 20 250 10 2 4
0.686887 7.0796 0.5 100000 4 10 250 5 0.5 4
0.547514 3.43594 0.5 200000 5 10 250 10 1 8
0.567183 4.03703 0.4 200000 4 20 250 10 0.5 4
0.654034 5.46405 0.4 200000 3 10 250 5 2 6
0.540971 1.82965 0.4 100000 4 10 500 10 1 10
0.542136 3.35053 0.5 100000 5 10 500 5 0.5 8
0.529424 3.68404 0.5 200000 3 20 1000 10 1 4
0.608115 4.7996 0.4 100000 5 10 1000 10 2 6
0.524546 2.76632 0.4 200000 5 10 1000 10 0.5 6
0.472347 1.82001 0.5 200000 3 15 250 10 0.5 10
0.549339 3.82719 0.4 100000 5 20 500 10 2 8
0.628115 4.96211 0.5 100000 5 20 250 5 1 4
0.542228 1.9069 0.5 100000 4 15 1000 5 0.5 8
0.573269 4.36921 0.5 200000 5 15 1000 10 2 4
0.543019 1.66174 0.4 100000 3 15 1000 10 1 10
0.574434 4.04851 0.4 200000 3 15 1000 5 2 10
0.45556 1.64456 0.4 200000 5 20 500 10 0.5 10
0.669496 4.89493 0.5 100000 4 10 250 5 0.5 6
0.501634 1.62221 0.5 200000 4 15 500 10 1 8
0.579287 3.37819 0.4 200000 4 10 500 10 0.5 4
0.547341 3.33601 0.5 200000 5 10 250 10 1 10
0.526772 3.16605 0.4 200000 4 20 250 10 0.5 6
0.66035 6.73092 0.4 100000 4 20 250 10 2 6
0.520133 3.03335 0.5 200000 3 20 1000 10 1 6
0.647595 5.31451 0.4 200000 3 10 250 5 2 8
0.532737 3.11409 0.5 100000 5 10 500 5 0.5 10
0.588577 4.43362 0.4 100000 5 10 1000 10 2 8
