# Testing 192 configurations 
# Reading [4] trace.out files from [../parrot-traces/polybench-subset-normal/]
# -> Parrot_l1_2mm.latency_trace.out
# -> Parrot_l1_deriche.latency_trace.out
# -> Parrot_l1_correlation.latency_trace.out
# -> Parrot_l1_adi.latency_trace.out
# Done loading files.
pct acc threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
0.730882 8.71136 0.6 50000 3 20 1000 5 0.5 4
0.751658 11.8653 0.6 50000 3 25 1000 5 2 6
0.736051 9.82283 0.65 50000 3 20 1500 10 0.5 4
0.731834 8.69855 0.6 50000 3 20 1000 10 2 6
0.743312 8.40642 0.6 50000 3 20 1500 10 2 6
0.572568 4.36553 0.6 50000 3 20 1500 5 0.5 10
0.679609 8.86797 0.6 50000 3 20 1000 10 0.5 4
0.571585 4.38504 0.65 50000 3 20 1500 10 0.5 10
0.543341 4.39501 0.65 50000 3 25 1500 10 0.5 10
0.63471 11.643 0.65 50000 3 25 1000 5 0.5 10
0.729919 8.70672 0.6 50000 3 20 1000 10 1 8
0.73127 8.67021 0.6 50000 3 20 1000 5 1 8
0.736071 9.94378 0.65 50000 3 25 1000 5 0.5 4
0.767445 12.0452 0.65 50000 3 20 1500 5 2 6
0.642382 8.12443 0.6 50000 3 25 1500 10 0.5 4
0.516637 4.51781 0.6 50000 3 25 1000 10 0.5 10
0.739434 9.87208 0.65 50000 3 20 1500 5 0.5 4
0.662013 11.9548 0.65 50000 3 25 1500 10 1 8
0.751791 9.87002 0.65 50000 3 20 1000 10 2 6
0.716114 8.77189 0.6 50000 3 25 1000 5 0.5 4
0.642056 10.0664 0.6 50000 3 25 1500 5 0.5 10
0.699566 10.0332 0.65 50000 3 20 1000 10 0.5 4
0.642056 10.0664 0.6 50000 3 25 1500 10 1 8
0.664793 11.6187 0.65 50000 3 20 1500 10 1 8
0.67803 11.5683 0.65 50000 3 20 1500 5 1 8
0.750975 9.86033 0.65 50000 3 20 1500 10 2 6
0.773673 12.222 0.65 50000 3 20 1000 5 2 6
0.714973 9.09323 0.6 50000 3 25 1500 5 0.5 4
0.731084 8.64972 0.6 50000 3 25 1500 5 1 8
0.751041 9.82415 0.65 50000 3 25 1500 5 1 8
0.642382 8.12443 0.65 50000 3 25 1500 10 0.5 4
0.658406 7.74432 0.6 50000 3 20 1000 5 0.5 10
0.662013 11.9548 0.65 50000 3 25 1500 5 0.5 10
0.732594 8.64523 0.6 50000 3 25 1500 10 2 6
0.572568 4.36553 0.65 50000 3 20 1500 5 0.5 10
0.571585 4.38504 0.6 50000 3 20 1500 10 0.5 10
0.760936 10.6924 0.6 50000 3 20 1500 5 2 6
0.76327 13.1913 0.65 50000 3 25 1000 5 2 6
0.750839 9.88059 0.65 50000 3 20 1000 5 0.5 4
0.746057 9.84576 0.65 50000 3 25 1000 10 2 6
0.738265 8.42412 0.6 50000 3 25 1000 10 2 6
0.735994 9.94253 0.65 50000 3 25 1000 10 1 8
0.763083 11.4304 0.6 50000 3 25 1500 5 2 6
0.543341 4.39501 0.6 50000 3 25 1500 10 0.5 10
0.726195 8.68259 0.6 50000 3 25 1000 5 1 8
0.658073 9.68621 0.6 50000 3 20 1500 5 1 8
0.749876 9.87619 0.65 50000 3 20 1000 10 1 8
0.716037 8.75703 0.6 50000 3 25 1000 10 1 8
0.752551 9.81966 0.65 50000 3 25 1500 10 2 6
0.719477 8.6968 0.6 50000 3 20 1500 5 0.5 4
0.614753 9.74301 0.6 50000 3 25 1000 5 0.5 10
