# Testing 192 configurations 
# Reading [30] trace.out files from [../experiment-results/Jun-27-3/trace]
# -> Parrot_l1_2mm.latency_trace.out
# -> Parrot_l1_jacobi-2d.latency_trace.out
# -> Parrot_l1_mvt.latency_trace.out
# -> Parrot_l1_floyd-warshall.latency_trace.out
# -> Parrot_l1_trisolv.latency_trace.out
# -> Parrot_l1_deriche.latency_trace.out
# -> Parrot_l1_symm.latency_trace.out
# -> Parrot_l1_syr2k.latency_trace.out
# -> Parrot_l1_nussinov.latency_trace.out
# -> Parrot_l1_heat-3d.latency_trace.out
# -> Parrot_l1_doitgen.latency_trace.out
# -> Parrot_l1_covariance.latency_trace.out
# -> Parrot_l1_trmm.latency_trace.out
# -> Parrot_l1_lu.latency_trace.out
# -> Parrot_l1_bicg.latency_trace.out
# -> Parrot_l1_3mm.latency_trace.out
# -> Parrot_l1_cholesky.latency_trace.out
# -> Parrot_l1_seidel-2d.latency_trace.out
# -> Parrot_l1_jacobi-1d.latency_trace.out
# -> Parrot_l1_gemver.latency_trace.out
# -> Parrot_l1_fdtd-2d.latency_trace.out
# -> Parrot_l1_gemm.latency_trace.out
# -> Parrot_l1_gesummv.latency_trace.out
# -> Parrot_l1_correlation.latency_trace.out
# -> Parrot_l1_adi.latency_trace.out
# -> Parrot_l1_durbin.latency_trace.out
# -> Parrot_l1_gramschmidt.latency_trace.out
# -> Parrot_l1_atax.latency_trace.out
# -> Parrot_l1_syrk.latency_trace.out
# -> Parrot_l1_ludcmp.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
2mm 0.987375 0.828432 86932460 0.65 100000 3 75 1500 5 2 4
jacobi-2d 0.972736 0.851205 77446287 0.65 100000 3 75 1500 5 2 4
mvt 0 0 5126331 0.65 100000 3 75 1500 5 2 4
floyd-warshall 0.93932 3.30476 83495202 0.65 100000 3 75 1500 5 2 4
trisolv 0 0 1287122 0.65 100000 3 75 1500 5 2 4
deriche 0.481433 11.6403 51182600 0.65 100000 3 75 1500 5 2 4
symm 0.991399 27.2233 59589175 0.65 100000 3 75 1500 5 2 4
syr2k 0.958154 0.894068 56133906 0.65 100000 3 75 1500 5 2 4
nussinov 0.992374 25.084 82149652 0.65 100000 3 75 1500 5 2 4
heat-3d 0.985327 13.6008 42696336 0.65 100000 3 75 1500 5 2 4
doitgen 0.989199 0.407351 68696010 0.65 100000 3 75 1500 5 2 4
covariance 0.965628 0.545177 60994466 0.65 100000 3 75 1500 5 2 4
trmm 0.981471 0.126108 59231530 0.65 100000 3 75 1500 5 2 4
lu 0 0 45895288 0.65 100000 3 75 1500 5 2 4
bicg 0.601909 0.518253 4644663 0.65 100000 3 75 1500 5 2 4
3mm 0.988241 0.549781 74624262 0.65 100000 3 75 1500 5 2 4
cholesky 0.98649 3.43753 46372611 0.65 100000 3 75 1500 5 2 4
seidel-2d 0.969014 8.8973 47327567 0.65 100000 3 75 1500 5 2 4
jacobi-1d 0.598361 0.860595 1276022 0.65 100000 3 75 1500 5 2 4
gemver 0.190074 8.31228 9133553 0.65 100000 3 75 1500 5 2 4
fdtd-2d 0.937258 30.5275 58373553 0.65 100000 3 75 1500 5 2 4
gemm 0.991959 49.0601 77908753 0.65 100000 3 75 1500 5 2 4
gesummv 0.330139 0.689929 1819780 0.65 100000 3 75 1500 5 2 4
correlation 0.978306 16.3915 60499205 0.65 100000 3 75 1500 5 2 4
adi 0 0 54215803 0.65 100000 3 75 1500 5 2 4
durbin 0.398262 4.88145 2646502 0.65 100000 3 75 1500 5 2 4
gramschmidt 0.967884 0.278625 61635578 0.65 100000 3 75 1500 5 2 4
atax 0.509021 0.451434 5125471 0.65 100000 3 75 1500 5 2 4
syrk 0.991239 25.1511 58497856 0.65 100000 3 75 1500 5 2 4
