# Testing 192 configurations 
# Reading [17] trace.out files from [../experiment-results/Jul-14-2/trace]
# -> Parrot_l1_mm-45.latency_trace.out
# -> Parrot_l1_mm-18.latency_trace.out
# -> Parrot_l1_mm-15.latency_trace.out
# -> Parrot_l1_mm-2.latency_trace.out
# -> Parrot_l1_mm-90.latency_trace.out
# -> Parrot_l1_mm-4.latency_trace.out
# -> Parrot_l1_mm-60.latency_trace.out
# -> Parrot_l1_mm-3.latency_trace.out
# -> Parrot_l1_mm-36.latency_trace.out
# -> Parrot_l1_mm-1.latency_trace.out
# -> Parrot_l1_mm-12.latency_trace.out
# -> Parrot_l1_mm-6.latency_trace.out
# -> Parrot_l1_mm-20.latency_trace.out
# -> Parrot_l1_mm-5.latency_trace.out
# -> Parrot_l1_mm-9.latency_trace.out
# -> Parrot_l1_mm-30.latency_trace.out
# -> Parrot_l1_mm-10.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
mm-45 0.985942 1.20224 88915043 0.65 100000 3 75 2000 20 2.5 8
mm-18 0.985977 1.13097 89138825 0.65 100000 3 75 2000 20 2.5 8
mm-15 0.980778 0.316304 89063226 0.65 100000 3 75 2000 20 2.5 8
mm-2 0.986279 0.0374531 91103277 0.65 100000 3 75 2000 20 2.5 8
mm-90 0.984125 0.0581377 88315331 0.65 100000 3 75 2000 20 2.5 8
mm-4 0.986085 0.0157973 89832019 0.65 100000 3 75 2000 20 2.5 8
mm-60 0.962132 0.232752 89310918 0.65 100000 3 75 2000 20 2.5 8
mm-3 0.960562 1.54312 90267418 0.65 100000 3 75 2000 20 2.5 8
mm-36 0.945281 0.165003 88853668 0.65 100000 3 75 2000 20 2.5 8
mm-1 0.986552 0.0190567 92949606 0.65 100000 3 75 2000 20 2.5 8
mm-12 0.984273 0.144779 89143436 0.65 100000 3 75 2000 20 2.5 8
mm-6 0.986012 0.0323565 89359455 0.65 100000 3 75 2000 20 2.5 8
mm-20 0.984233 0.377742 88922174 0.65 100000 3 75 2000 20 2.5 8
