# Testing 1296 configurations 
# Reading [30] trace.out files from [../parrot-traces/polybench-normal-jun14/]
# -> Parrot_l1_2mm.latency_trace.out
# -> Parrot_l1_jacobi-2d.latency_trace.out
# -> Parrot_l1_mvt.latency_trace.out
# -> Parrot_l1_floyd-warshall.latency_trace.out
# -> Parrot_l1_trisolv.latency_trace.out
# -> Parrot_l1_deriche.latency_trace.out
# -> Parrot_l1_symm.latency_trace.out
# -> Parrot_l1_syr2k.latency_trace.out
# -> Parrot_l1_nussinov.latency_trace.out
# -> Parrot_l1_heat-3d.latency_trace.out
# -> Parrot_l1_doitgen.latency_trace.out
# -> Parrot_l1_covariance.latency_trace.out
# -> Parrot_l1_trmm.latency_trace.out
# -> Parrot_l1_lu.latency_trace.out
# -> Parrot_l1_bicg.latency_trace.out
# -> Parrot_l1_3mm.latency_trace.out
# -> Parrot_l1_cholesky.latency_trace.out
# -> Parrot_l1_seidel-2d.latency_trace.out
# -> Parrot_l1_jacobi-1d.latency_trace.out
# -> Parrot_l1_gemver.latency_trace.out
# -> Parrot_l1_fdtd-2d.latency_trace.out
# -> Parrot_l1_gemm.latency_trace.out
# -> Parrot_l1_gesummv.latency_trace.out
# -> Parrot_l1_correlation.latency_trace.out
# -> Parrot_l1_adi.latency_trace.out
# -> Parrot_l1_durbin.latency_trace.out
# -> Parrot_l1_gramschmidt.latency_trace.out
# -> Parrot_l1_atax.latency_trace.out
# -> Parrot_l1_syrk.latency_trace.out
# -> Parrot_l1_ludcmp.latency_trace.out
# Done loading files.
pct acc threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
0.516916 2.45274 0.5 10000 3 20 1000 5 0.5 4
0.476714 0.783929 0.5 10000 3 25 1500 10 0.5 4
0.479244 2.2377 0.5 100000 3 20 1000 10 0.5 4
0.51089 2.48339 0.5 50000 3 20 1500 5 0.5 4
0.640964 2.07565 0.5 10000 3 20 1000 10 2 6
0.696387 4.55857 0.5 50000 3 50 1000 5 2 4
0.528461 2.19968 0.6 10000 3 50 1000 10 0.5 4
0.743627 4.16215 0.5 10000 3 50 1000 5 2 6
0.537657 3.1227 0.6 50000 3 20 1000 5 0.5 4
0.618029 4.63576 0.5 100000 3 25 1000 5 1 4
0.549135 2.25257 0.5 50000 3 25 1000 10 1 4
0.550226 1.90041 0.5 100000 3 25 1500 5 0.5 4
0.538712 2.52429 0.6 50000 3 25 1000 10 0.5 4
0.625375 3.1441 0.6 100000 3 25 1500 10 1 4
0.669805 4.88128 0.6 50000 3 20 1500 10 1 4
0.754257 4.11319 0.5 100000 3 25 1500 10 2 4
0.538906 1.30168 0.6 50000 3 50 1500 5 0.5 4
0.653295 4.28656 0.5 50000 3 20 1000 5 1 4
0.493419 2.89129 0.6 100000 3 50 1000 10 0.5 4
0.855898 7.61323 0.65 100000 3 50 1000 5 2 4
0.856547 7.38365 0.6 50000 3 25 1500 5 2 4
0.561916 2.62732 0.65 50000 3 50 1000 5 0.5 4
0.650879 3.11989 0.5 50000 3 50 1500 5 1 4
0.887238 10.116 0.65 50000 3 25 1000 5 2 4
0.433726 0.253325 0.5 100000 3 50 1500 10 0.5 4
0.533588 1.45567 0.65 10000 3 50 1000 10 0.5 4
0.789645 4.94314 0.5 100000 3 20 1500 5 2 4
0.871075 8.75209 0.65 10000 3 50 1500 5 2 4
0.820088 7.78649 0.65 50000 3 50 1000 10 2 4
0.626188 2.93814 0.65 50000 3 20 1000 10 1 4
0.197499 0.551679 0.5 10000 3 25 1000 10 0.5 10
0.731774 4.66126 0.65 10000 3 25 1500 10 1 4
0.814452 5.43834 0.65 10000 3 25 1000 10 2 4
0.620258 4.35651 0.65 10000 3 25 1000 5 0.5 4
0.671716 5.35867 0.6 100000 3 20 1500 5 1 4
0.461481 1.11917 0.5 50000 3 25 1500 10 0.5 4
0.54736 2.29253 0.5 100000 3 50 1000 10 1 4
0.533192 2.84591 0.6 10000 3 25 1000 10 1 8
0.552387 2.06642 0.5 10000 3 50 1500 5 1 8
0.757705 4.57818 0.6 10000 3 20 1500 10 2 6
0.268778 1.65257 0.6 10000 3 25 1500 10 0.5 10
0.835775 7.85465 0.6 100000 3 25 1000 10 2 4
0.743595 5.3292 0.5 50000 3 20 1500 10 2 4
0.884135 8.85981 0.6 100000 3 20 1000 5 2 4
0.686618 5.02293 0.65 100000 3 20 1000 5 1 4
0.70453 6.36721 0.6 50000 3 50 1000 5 1 4
0.828626 8.22186 0.6 10000 3 50 1500 5 2 6
0.567561 2.11132 0.65 100000 3 25 1500 10 0.5 4
0.462159 1.37838 0.5 10000 3 20 1500 10 1 8
0.458647 3.29747 0.6 10000 3 20 1000 5 0.5 10
0.637177 4.67972 0.6 10000 3 20 1500 5 0.5 4
0.857561 6.80984 0.6 50000 3 20 1000 10 2 4
0.665442 5.21781 0.65 100000 3 50 1500 5 1 4
0.578306 2.94269 0.6 100000 3 25 1000 5 0.5 4
0.749274 5.75435 0.65 50000 3 25 1500 5 1 4
0.779748 4.78066 0.65 100000 3 20 1500 10 2 4
0.513802 2.17734 0.65 10000 3 20 1500 5 0.5 10
0.834359 5.79482 0.6 50000 3 50 1500 10 2 4
0.615377 3.23109 0.65 100000 3 20 1500 5 0.5 4
0.642279 3.74952 0.65 50000 3 50 1500 10 1 4
0.625274 4.1179 0.65 100000 3 25 1000 10 1 4
0.690432 4.7798 0.65 10000 3 20 1000 5 1 8
0.836155 6.94486 0.6 100000 3 50 1500 5 2 4
0.560234 2.56458 0.65 50000 3 20 1500 10 0.5 4
0.403696 0.772019 0.5 10000 3 25 1500 10 0.5 6
0.484031 1.31004 0.5 50000 3 25 1000 10 1 6
0.590686 3.43753 0.5 50000 3 20 1000 5 1 6
0.455975 0.702487 0.5 100000 3 20 1000 10 0.5 6
0.507215 2.83033 0.6 10000 3 25 1000 10 1 10
0.470899 1.27336 0.5 10000 3 20 1000 5 0.5 6
0.477939 1.42098 0.5 50000 3 20 1500 5 0.5 6
0.579849 1.80263 0.5 50000 3 50 1500 5 1 6
0.486387 1.09305 0.5 100000 3 25 1500 5 0.5 6
0.730778 4.13992 0.5 10000 3 50 1000 5 2 8
0.624357 1.47771 0.5 10000 3 20 1000 10 2 8
0.686147 4.73174 0.5 50000 3 50 1000 5 2 6
0.592182 3.39091 0.5 100000 3 25 1000 5 1 6
0.702006 2.2899 0.5 100000 3 25 1500 10 2 6
0.726256 4.0939 0.5 100000 3 20 1500 5 2 6
0.462264 2.1713 0.6 10000 3 50 1000 10 0.5 6
0.417792 1.20161 0.6 50000 3 25 1000 10 0.5 6
0.605584 2.26267 0.65 10000 3 25 1500 10 1 6
0.501897 1.3199 0.6 50000 3 50 1500 5 0.5 6
0.472277 1.37324 0.65 10000 3 50 1000 10 0.5 6
0.4773 0.804071 0.6 100000 3 50 1000 10 0.5 6
0.423674 0.246502 0.5 100000 3 50 1500 10 0.5 6
0.647692 3.30173 0.6 50000 3 20 1500 10 1 6
0.867835 8.26529 0.65 10000 3 50 1500 5 2 6
0.83806 7.39637 0.6 50000 3 25 1500 5 2 6
0.60117 4.195 0.65 10000 3 25 1000 5 0.5 6
0.85497 8.20946 0.65 50000 3 25 1000 5 2 6
0.775602 5.57071 0.65 100000 3 50 1000 5 2 6
0.661799 4.01734 0.6 100000 3 20 1500 5 1 6
0.499903 2.08671 0.65 50000 3 50 1000 5 0.5 6
0.567181 2.25612 0.65 50000 3 20 1000 10 1 6
0.737247 5.54266 0.65 50000 3 50 1000 10 2 6
0.775804 4.94196 0.65 10000 3 25 1000 10 2 6
0.592474 1.9234 0.6 100000 3 25 1500 10 1 6
0.478197 3.03725 0.6 50000 3 20 1000 5 0.5 6
0.762323 6.38252 0.6 100000 3 25 1000 10 2 6
0.478719 1.05103 0.5 100000 3 50 1000 10 1 6
0.43305 0.254662 0.5 50000 3 25 1500 10 0.5 6
0.512058 1.12042 0.5 10000 3 50 1500 5 1 10
0.555546 2.17276 0.5 10000 3 25 1000 10 1 4
0.639096 2.40266 0.5 50000 3 20 1500 10 2 6
0.456529 1.34136 0.5 10000 3 20 1500 10 1 10
0.698332 4.54993 0.6 10000 3 25 1500 10 1 4
0.735414 3.97761 0.6 10000 3 20 1500 10 2 8
0.545665 3.75949 0.6 10000 3 20 1500 5 0.5 6
0.680694 7.56369 0.6 10000 3 20 1000 5 1 4
0.802338 7.62268 0.6 100000 3 20 1000 5 2 6
0.799441 4.95351 0.6 50000 3 20 1000 10 2 6
0.609888 3.65521 0.6 50000 3 50 1000 5 1 6
0.826343 7.7901 0.6 10000 3 50 1500 5 2 8
0.508007 1.74602 0.6 100000 3 25 1000 5 0.5 6
0.526238 1.60243 0.65 100000 3 25 1500 10 0.5 6
0.618332 3.82588 0.65 100000 3 50 1500 5 1 6
0.700544 5.58066 0.65 50000 3 25 1500 5 1 6
0.773927 4.66618 0.65 100000 3 20 1500 10 2 6
0.680045 4.67235 0.65 100000 3 20 1000 5 1 6
0.803241 5.31262 0.6 50000 3 50 1500 10 2 6
0.736829 5.67481 0.65 10000 3 20 1500 5 1 4
0.589805 1.99222 0.65 100000 3 25 1000 10 1 6
0.584134 2.24717 0.65 50000 3 50 1500 10 1 6
0.588678 3.17551 0.65 100000 3 20 1500 5 0.5 6
0.647708 3.81777 0.65 10000 3 20 1000 5 1 10
0.438694 1.29421 0.65 50000 3 20 1500 10 0.5 6
0.573867 2.24955 0.5 50000 3 20 1000 5 1 8
0.409843 0.176812 0.5 50000 3 20 1500 5 0.5 8
0.830561 5.53536 0.6 100000 3 50 1500 5 2 6
0.470936 1.01244 0.5 100000 3 25 1500 5 0.5 8
0.454875 1.34716 0.5 50000 3 25 1000 10 1 8
0.438846 0.670507 0.5 100000 3 20 1000 10 0.5 8
0.526974 1.35492 0.5 100000 3 25 1000 5 1 8
0.626796 1.36566 0.5 100000 3 25 1500 10 2 8
0.639229 4.01228 0.5 50000 3 50 1000 5 2 8
0.607086 1.48914 0.5 10000 3 20 1000 10 2 10
0.517452 0.497921 0.5 50000 3 50 1500 5 1 8
0.418035 1.61925 0.6 10000 3 50 1000 10 0.5 8
0.729654 4.14574 0.5 10000 3 50 1000 5 2 10
0.718035 4.138 0.5 100000 3 20 1500 5 2 8
0.78127 5.2973 0.6 10000 3 25 1000 10 2 4
0.425542 0.251025 0.6 100000 3 50 1000 10 0.5 8
0.347761 1.1708 0.6 50000 3 25 1000 10 0.5 8
0.833688 7.04797 0.6 50000 3 25 1500 5 2 8
0.471287 1.28899 0.6 50000 3 50 1500 5 0.5 8
0.521059 2.05704 0.6 50000 3 20 1500 10 1 8
0.500085 1.93341 0.65 50000 3 20 1000 10 1 8
0.418087 0.757604 0.65 10000 3 50 1000 10 0.5 8
0.604377 3.54434 0.6 100000 3 20 1500 5 1 8
0.847503 6.60029 0.65 50000 3 25 1000 5 2 8
0.474203 3.26061 0.65 10000 3 25 1000 5 0.5 8
0.865602 7.81077 0.65 10000 3 50 1500 5 2 8
0.460032 2.07519 0.65 50000 3 50 1000 5 0.5 8
0.578246 2.289 0.65 10000 3 25 1500 10 1 8
0.696935 3.8125 0.65 50000 3 50 1000 10 2 8
0.772548 5.58642 0.65 100000 3 50 1000 5 2 8
0.414985 1.21944 0.5 10000 3 20 1000 5 0.5 8
0.337595 0.217411 0.5 100000 3 50 1500 10 0.5 8
0.772565 4.84823 0.65 10000 3 25 1000 10 2 8
0.732672 3.87881 0.6 100000 3 25 1000 10 2 8
0.56336 1.96026 0.6 100000 3 25 1500 10 1 8
0.377146 0.793201 0.5 10000 3 25 1500 10 0.5 8
0.404602 0.274508 0.5 50000 3 25 1500 10 0.5 8
0.437999 1.21759 0.6 50000 3 20 1000 5 0.5 8
0.525173 2.21136 0.5 10000 3 25 1000 10 1 6
0.744763 5.41741 0.5 10000 3 50 1500 5 2 4
0.476361 1.08215 0.5 100000 3 50 1000 10 1 8
0.337868 0.134335 0.5 50000 3 20 1500 5 0.5 10
0.723069 2.92912 0.5 10000 3 20 1500 10 2 4
0.615479 2.22821 0.5 50000 3 20 1500 10 2 8
0.466121 1.01182 0.5 100000 3 25 1500 5 0.5 10
0.441354 0.626753 0.5 50000 3 25 1000 10 1 10
0.573588 2.27054 0.5 50000 3 20 1000 5 1 10
0.367396 0.634663 0.5 100000 3 20 1000 10 0.5 10
0.45946 0.681531 0.5 10000 3 50 1000 10 0.5 4
0.63301 3.28576 0.5 50000 3 50 1000 5 2 10
0.517763 1.3117 0.5 100000 3 25 1000 5 1 10
0.70943 3.56393 0.5 100000 3 20 1500 5 2 10
0.560117 2.20623 0.5 10000 3 20 1500 5 0.5 4
0.512726 0.475512 0.5 50000 3 50 1500 5 1 10
0.625099 1.45211 0.5 100000 3 25 1500 10 2 10
0.608946 2.91952 0.6 10000 3 25 1500 10 1 6
0.251511 1.55859 0.6 10000 3 50 1000 10 0.5 10
0.231457 0.16642 0.6 50000 3 25 1000 10 0.5 10
0.741626 4.82691 0.6 10000 3 25 1000 10 2 6
0.713441 3.49356 0.6 10000 3 20 1500 10 2 10
0.367144 0.192149 0.6 50000 3 50 1500 5 0.5 10
0.344245 0.204994 0.6 100000 3 50 1000 10 0.5 10
0.760624 6.71934 0.6 10000 3 50 1500 5 2 10
0.510792 2.84092 0.6 10000 3 20 1500 5 0.5 8
0.667783 4.99565 0.6 10000 3 20 1000 5 1 6
0.802153 6.98727 0.6 50000 3 25 1500 5 2 10
0.538387 2.08461 0.6 50000 3 20 1500 10 1 10
0.569692 2.01282 0.6 50000 3 50 1000 5 1 8
0.416577 2.02883 0.65 50000 3 50 1000 5 0.5 10
0.461278 1.92275 0.65 50000 3 20 1000 10 1 10
0.251563 0.69695 0.65 10000 3 50 1000 10 0.5 10
0.491772 1.71806 0.6 100000 3 25 1000 5 0.5 8
0.798319 5.8362 0.6 100000 3 20 1000 5 2 8
0.83369 6.76194 0.65 50000 3 25 1000 5 2 10
0.396416 2.00888 0.65 10000 3 25 1000 5 0.5 10
0.603134 3.09038 0.6 100000 3 20 1500 5 1 10
0.797093 4.91391 0.6 50000 3 20 1000 10 2 8
0.800466 6.72455 0.65 10000 3 50 1500 5 2 10
0.421068 0.868784 0.65 100000 3 25 1500 10 0.5 8
0.643601 4.16794 0.65 50000 3 25 1500 5 1 8
0.725596 4.70549 0.65 100000 3 20 1500 10 2 8
0.673551 3.00255 0.65 50000 3 50 1000 10 2 10
0.769809 5.58629 0.65 100000 3 50 1000 5 2 10
0.614421 3.34766 0.65 100000 3 50 1500 5 1 8
0.48205 1.81839 0.65 10000 3 25 1500 10 1 10
0.663779 4.56425 0.65 100000 3 20 1000 5 1 8
0.675746 4.78645 0.65 10000 3 20 1500 5 1 6
0.652865 2.03425 0.6 50000 3 50 1500 10 2 8
0.729154 3.8809 0.65 10000 3 25 1000 10 2 10
0.546023 1.7877 0.65 50000 3 50 1500 10 1 8
0.542906 1.79207 0.65 100000 3 25 1000 10 1 8
0.341853 0.280667 0.65 50000 3 20 1500 10 0.5 8
0.541058 3.3591 0.65 100000 3 20 1500 5 0.5 8
0.889185 8.14648 0.65 10000 3 20 1000 5 2 4
0.401739 1.23362 0.5 10000 3 20 1000 5 0.5 10
0.703425 3.25232 0.6 100000 3 25 1000 10 2 10
0.77077 4.75173 0.6 100000 3 50 1500 5 2 8
0.52191 1.95074 0.6 100000 3 25 1500 10 1 10
0.22426 0.177549 0.5 100000 3 50 1500 10 0.5 10
0.6471 3.71411 0.5 50000 3 20 1500 5 1 4
0.561853 2.31297 0.5 100000 3 20 1000 10 1 4
0.456859 1.0834 0.5 50000 3 50 1000 10 0.5 4
0.770941 5.61029 0.5 50000 3 20 1000 5 2 4
0.468009 1.28471 0.5 10000 3 20 1500 5 0.5 6
0.656506 2.87976 0.5 100000 3 25 1500 5 1 4
0.460847 2.43271 0.5 100000 3 20 1500 10 0.5 4
0.522284 1.33273 0.5 100000 3 50 1000 5 0.5 4
0.800742 6.05343 0.5 100000 3 25 1000 5 2 4
0.748192 4.64245 0.5 50000 3 50 1500 5 2 4
0.391036 0.652326 0.5 10000 3 50 1000 10 0.5 6
0.616541 3.53747 0.6 10000 3 50 1000 10 1 4
0.21607 0.191158 0.5 10000 3 25 1500 10 0.5 10
0.675028 4.53595 0.5 50000 3 25 1000 10 2 4
0.42024 1.23726 0.6 50000 3 20 1000 5 0.5 10
0.656523 4.14807 0.6 50000 3 25 1000 10 1 4
0.738518 4.73374 0.6 10000 3 25 1000 10 2 8
0.735497 5.07605 0.5 10000 3 50 1500 5 2 6
0.459295 1.26847 0.5 10000 3 25 1000 10 1 8
0.319371 0.228117 0.5 50000 3 25 1500 10 0.5 10
0.462066 0.595059 0.5 100000 3 50 1000 10 1 10
0.646578 4.34639 0.6 100000 3 50 1000 10 1 4
0.656326 2.19644 0.5 10000 3 20 1500 10 2 6
0.843029 7.54517 0.6 50000 3 20 1500 10 2 4
0.587642 1.39913 0.5 50000 3 20 1500 10 2 10
0.708024 6.63917 0.65 50000 3 50 1000 5 1 4
0.534145 1.77063 0.6 50000 3 25 1500 10 0.5 4
0.54228 2.71561 0.65 50000 3 25 1000 10 0.5 4
0.863784 7.2571 0.6 100000 3 20 1500 5 2 4
0.688191 5.11372 0.65 10000 3 25 1000 5 1 4
0.881465 6.70933 0.65 50000 3 20 1000 10 2 4
0.653976 3.58792 0.65 10000 3 50 1000 10 1 4
0.542474 1.65259 0.65 50000 3 50 1500 5 0.5 4
0.888415 8.11935 0.65 10000 3 25 1500 10 2 4
0.53439 0.971838 0.65 10000 3 50 1500 10 0.5 4
0.574648 2.95983 0.6 10000 3 25 1500 10 1 8
0.640238 3.96541 0.65 10000 3 25 1500 5 0.5 4
0.585655 4.26092 0.6 10000 3 25 1000 5 0.5 4
