# Testing 192 configurations 
# Reading [30] trace.out files from [../parrot-traces/polybench-v0.1-normal/]
# -> Parrot_l1_2mm.latency_trace.out
# -> Parrot_l1_jacobi-2d.latency_trace.out
# -> Parrot_l1_mvt.latency_trace.out
# -> Parrot_l1_floyd-warshall.latency_trace.out
# -> Parrot_l1_trisolv.latency_trace.out
# -> Parrot_l1_deriche.latency_trace.out
# -> Parrot_l1_symm.latency_trace.out
# -> Parrot_l1_syr2k.latency_trace.out
# -> Parrot_l1_nussinov.latency_trace.out
# -> Parrot_l1_heat-3d.latency_trace.out
# -> Parrot_l1_doitgen.latency_trace.out
# -> Parrot_l1_covariance.latency_trace.out
# -> Parrot_l1_trmm.latency_trace.out
# -> Parrot_l1_lu.latency_trace.out
# -> Parrot_l1_bicg.latency_trace.out
# -> Parrot_l1_3mm.latency_trace.out
# -> Parrot_l1_cholesky.latency_trace.out
# -> Parrot_l1_seidel-2d.latency_trace.out
# -> Parrot_l1_jacobi-1d.latency_trace.out
# -> Parrot_l1_gemver.latency_trace.out
# Done loading files.
pct acc threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
0.564841 1.91572 0.6 50000 3 25 1500 5 0.5 10
0.520038 0.471201 0.65 50000 3 20 1000 10 0.5 10
0.598248 2.99902 0.6 50000 3 20 1500 5 0.5 4
0.520038 0.471201 0.6 50000 3 20 1000 10 0.5 10
0.475819 0.502223 0.6 50000 3 20 1500 10 0.5 10
0.475819 0.502223 0.65 50000 3 20 1500 10 0.5 10
0.417965 0.244749 0.6 50000 3 25 1500 10 0.5 10
0.417965 0.244749 0.65 50000 3 25 1500 10 0.5 10
0.603454 2.58226 0.65 50000 3 20 1500 10 0.5 4
0.603454 2.58226 0.6 50000 3 20 1500 10 0.5 4
0.591841 2.69185 0.65 50000 3 20 1500 5 0.5 4
0.564841 1.91572 0.65 50000 3 25 1500 5 0.5 10
0.678264 5.23006 0.6 50000 3 25 1500 5 1 4
0.61356 4.39718 0.6 50000 3 20 1500 10 1 4
0.619686 3.02922 0.65 50000 3 20 1000 10 1 4
0.607453 4.02613 0.65 50000 3 20 1500 10 1 4
0.592793 2.6843 0.6 50000 3 20 1500 5 0.5 6
0.614637 3.13704 0.6 50000 3 20 1000 10 1 4
0.551825 1.22625 0.65 50000 3 20 1500 10 0.5 6
0.685141 5.41035 0.6 50000 3 25 1500 10 1 4
0.551825 1.22625 0.6 50000 3 20 1500 10 0.5 6
0.680381 4.7253 0.65 50000 3 25 1500 10 1 4
0.592793 2.6843 0.65 50000 3 20 1500 5 0.5 6
0.682703 5.48035 0.65 50000 3 25 1500 5 1 4
0.65725 4.71009 0.6 50000 3 25 1500 5 1 6
0.606894 2.69697 0.6 50000 3 20 1500 10 1 6
0.606894 2.69697 0.65 50000 3 20 1500 10 1 6
0.476814 0.507964 0.65 50000 3 20 1500 10 0.5 8
0.476814 0.507964 0.6 50000 3 20 1500 10 0.5 8
0.608083 2.70753 0.6 50000 3 20 1000 10 1 6
0.574197 2.07551 0.6 50000 3 20 1500 5 0.5 8
0.608083 2.70753 0.65 50000 3 20 1000 10 1 6
0.617639 3.31269 0.6 50000 3 25 1500 10 1 6
0.61288 2.62477 0.65 50000 3 25 1500 10 1 6
0.574197 2.07551 0.65 50000 3 20 1500 5 0.5 8
0.661689 4.96038 0.65 50000 3 25 1500 5 1 6
0.627194 4.51643 0.6 50000 3 20 1000 5 1 8
0.596453 3.1624 0.6 50000 3 25 1000 5 0.5 4
0.674014 5.60233 0.6 50000 3 20 1500 10 2 6
0.653242 4.07273 0.6 50000 3 20 1000 10 2 6
0.60802 2.65691 0.6 50000 3 20 1000 10 1 8
0.620149 2.87533 0.6 50000 3 20 1500 5 1 8
0.587362 1.97133 0.65 50000 3 25 1500 10 1 8
0.605173 2.73207 0.6 50000 3 25 1500 10 0.5 4
0.600382 2.64406 0.6 50000 3 20 1000 10 0.5 4
0.570475 1.9559 0.65 50000 3 20 1000 5 0.5 10
0.605173 2.73207 0.65 50000 3 25 1500 10 0.5 4
0.601466 2.68598 0.6 50000 3 25 1000 10 0.5 4
0.573464 2.09814 0.65 50000 3 25 1000 5 0.5 10
0.587362 1.97133 0.6 50000 3 25 1500 10 1 8
