# Testing 192 configurations 
# Reading [30] trace.out files from [../parrot-traces/polybench-v0.1-normal/]
# -> Parrot_l1_2mm.latency_trace.out
# -> Parrot_l1_jacobi-2d.latency_trace.out
# -> Parrot_l1_mvt.latency_trace.out
# -> Parrot_l1_floyd-warshall.latency_trace.out
# -> Parrot_l1_trisolv.latency_trace.out
# -> Parrot_l1_deriche.latency_trace.out
# -> Parrot_l1_symm.latency_trace.out
# -> Parrot_l1_syr2k.latency_trace.out
# -> Parrot_l1_nussinov.latency_trace.out
# -> Parrot_l1_heat-3d.latency_trace.out
# -> Parrot_l1_doitgen.latency_trace.out
# -> Parrot_l1_covariance.latency_trace.out
# -> Parrot_l1_trmm.latency_trace.out
# -> Parrot_l1_lu.latency_trace.out
# -> Parrot_l1_bicg.latency_trace.out
# -> Parrot_l1_3mm.latency_trace.out
# -> Parrot_l1_cholesky.latency_trace.out
# -> Parrot_l1_seidel-2d.latency_trace.out
# -> Parrot_l1_jacobi-1d.latency_trace.out
# -> Parrot_l1_gemver.latency_trace.out
# -> Parrot_l1_fdtd-2d.latency_trace.out
# -> Parrot_l1_gemm.latency_trace.out
# -> Parrot_l1_gesummv.latency_trace.out
# -> Parrot_l1_correlation.latency_trace.out
# -> Parrot_l1_adi.latency_trace.out
# -> Parrot_l1_durbin.latency_trace.out
# -> Parrot_l1_gramschmidt.latency_trace.out
# -> Parrot_l1_atax.latency_trace.out
# -> Parrot_l1_syrk.latency_trace.out
# -> Parrot_l1_ludcmp.latency_trace.out
# Done loading files.
pct acc threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
0.714072 4.59565 0.6 50000 3 20 1500 10 0.5 4
0.444945 1.69896 0.65 50000 3 25 1500 10 0.5 10
0.658579 3.44963 0.65 50000 3 25 1500 5 0.5 10
0.61717 3.14001 0.6 50000 3 20 1000 10 0.5 10
0.715552 4.64136 0.65 50000 3 20 1500 5 0.5 4
0.629615 3.16215 0.65 50000 3 20 1000 10 0.5 10
0.71652 4.83263 0.6 50000 3 20 1500 5 0.5 4
0.550991 3.15258 0.6 50000 3 20 1500 10 0.5 10
0.658579 3.44963 0.6 50000 3 25 1500 5 0.5 10
0.726516 4.61781 0.65 50000 3 20 1500 10 0.5 4
0.444945 1.69896 0.6 50000 3 25 1500 10 0.5 10
0.563436 3.17474 0.65 50000 3 20 1500 10 0.5 10
0.638652 3.63593 0.6 50000 3 20 1500 10 0.5 6
0.716931 4.64288 0.65 50000 3 20 1500 5 0.5 6
0.777556 6.56159 0.65 50000 3 25 1500 5 1 4
0.737902 4.93333 0.65 50000 3 20 1000 10 1 4
0.704486 4.62072 0.6 50000 3 20 1500 5 0.5 6
0.733032 4.9959 0.6 50000 3 20 1000 10 1 4
0.719211 5.75609 0.6 50000 3 20 1500 10 1 4
0.775742 6.05822 0.65 50000 3 25 1500 10 1 4
0.764322 6.37257 0.6 50000 3 25 1500 5 1 4
0.651097 3.65809 0.65 50000 3 20 1500 10 0.5 6
0.760591 6.49276 0.6 50000 3 25 1500 10 1 4
0.730571 5.53087 0.65 50000 3 20 1500 10 1 4
0.551963 3.15707 0.6 50000 3 20 1500 10 0.5 8
