# Testing 1296 configurations 
# Reading [4] trace.out files from [../parrot-traces/polybench-subset-normal2/]
# -> Parrot_l1_2mm.latency_trace.out
# -> Parrot_l1_deriche.latency_trace.out
# -> Parrot_l1_correlation.latency_trace.out
# -> Parrot_l1_adi.latency_trace.out
# Done loading files.
pct acc threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
0.729559 8.67279 0.6 50000 3 20 1000 10 2 4
0.670031 9.3045 0.6 100000 3 50 1500 5 2 4
0.730756 15.154 0.6 10000 3 20 1500 10 2 6
0.687333 14.8525 0.65 10000 3 50 1500 5 2 4
0.74265 9.97106 0.65 100000 3 20 1000 5 1 4
0.749291 9.85638 0.65 50000 3 50 1000 10 2 4
0.691577 4.6126 0.5 50000 3 20 1000 5 1 4
0.642804 7.83035 0.65 50000 3 50 1000 5 0.5 4
0.734678 8.96704 0.6 100000 3 20 1000 5 2 4
0.715856 10.1277 0.65 50000 3 50 1500 10 1 4
0.581681 14.1767 0.6 10000 3 25 1000 10 1 8
0.662774 14.1745 0.6 10000 3 20 1500 5 0.5 4
0.523465 3.74365 0.5 10000 3 25 1500 10 0.5 4
0.748464 9.98779 0.65 100000 3 20 1500 10 2 4
0.697972 4.50656 0.5 10000 3 20 1000 10 2 6
0.636277 7.68923 0.6 50000 3 20 1000 5 0.5 4
0.626078 3.78442 0.5 50000 3 20 1500 5 0.5 4
0.656661 7.79527 0.65 100000 3 25 1000 10 1 4
0.727689 8.83018 0.6 100000 3 25 1000 10 2 4
0.689608 4.62411 0.5 10000 3 50 1000 5 2 6
0.499548 8.33766 0.65 10000 3 50 1000 10 0.5 4
0.638899 4.61359 0.5 50000 3 25 1000 10 1 4
0.727157 8.78683 0.6 50000 3 20 1000 10 2 6
0.656401 7.65909 0.6 100000 3 25 1000 5 0.5 4
0.532676 7.63314 0.6 50000 3 25 1000 10 0.5 4
0.661236 9.84798 0.6 100000 3 50 1500 5 2 6
0.730239 15.1557 0.6 10000 3 20 1500 10 2 8
0.244129 10.6452 0.6 10000 3 25 1500 10 0.5 10
0.749855 9.75693 0.65 50000 3 25 1000 5 2 4
0.347355 3.42367 0.65 50000 3 20 1500 10 0.5 4
0.689271 4.74045 0.5 100000 3 20 1500 5 2 4
0.774693 9.9409 0.65 10000 3 20 1000 5 1 8
