# Testing 1296 configurations 
# Reading [4] trace.out files from [../parrot-traces/polybench-subset-normal/]
# -> Parrot_l1_2mm.latency_trace.out
# -> Parrot_l1_deriche.latency_trace.out
# -> Parrot_l1_correlation.latency_trace.out
# -> Parrot_l1_adi.latency_trace.out
# Done loading files.
pct acc threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
0.645445 4.40519 0.5 50000 3 50 1500 5 1 4
0.75798 9.90547 0.65 50000 3 25 1500 5 1 4
0.76803 9.90016 0.65 10000 3 20 1000 5 1 8
0.720808 8.68107 0.6 100000 3 50 1000 10 0.5 4
0.757924 9.65834 0.65 100000 3 20 1000 5 1 4
0.776083 10.0366 0.65 10000 3 25 1500 10 1 4
0.708303 15.3049 0.6 10000 3 20 1000 5 0.5 10
0.765258 9.54012 0.65 100000 3 50 1000 5 2 4
0.779456 13.1878 0.65 10000 3 50 1500 5 2 4
0.680707 4.56384 0.5 100000 3 50 1000 10 1 4
0.733094 8.56171 0.6 50000 3 20 1500 10 1 4
0.757023 6.36936 0.5 50000 3 50 1000 5 2 4
0.886024 6.40637 0.5 100000 3 20 1500 5 2 4
0.704077 4.13849 0.5 10000 3 20 1000 10 2 6
0.750603 9.80565 0.65 100000 3 20 1500 10 2 4
0.569787 0.252323 0.5 100000 3 50 1500 10 0.5 4
0.731732 15.1266 0.6 10000 3 25 1000 10 1 8
0.670218 4.77382 0.5 100000 3 25 1500 5 0.5 4
0.734099 8.55772 0.6 50000 3 50 1500 10 2 4
0.727334 9.9485 0.65 100000 3 25 1000 10 1 4
0.703261 15.2074 0.6 10000 3 50 1000 10 0.5 4
0.709372 4.3826 0.5 50000 3 20 1000 5 1 4
0.624915 5.72455 0.5 10000 3 50 1500 5 1 8
0.679231 4.47584 0.5 50000 3 25 1000 10 1 4
0.677236 4.71874 0.5 10000 3 20 1000 5 0.5 4
0.742754 9.81311 0.65 50000 3 50 1000 5 0.5 4
0.774853 10.1073 0.65 10000 3 25 1000 10 2 4
0.635329 7.70529 0.65 100000 3 25 1500 10 0.5 4
0.734509 8.42772 0.6 100000 3 20 1500 5 1 4
0.678858 4.8925 0.5 10000 3 20 1500 10 1 8
0.701225 18.0698 0.6 10000 3 50 1500 5 2 6
0.746169 10.0963 0.65 10000 3 50 1000 10 0.5 4
0.745054 8.33381 0.6 50000 3 50 1000 5 1 4
0.681613 4.51907 0.5 50000 3 20 1500 5 0.5 4
0.648636 9.58853 0.6 50000 3 50 1500 5 0.5 4
0.639996 4.2272 0.5 50000 3 25 1500 10 0.5 4
0.70756 8.78337 0.6 100000 3 25 1000 5 0.5 4
0.854678 8.03986 0.5 10000 3 50 1000 5 2 6
0.733546 14.994 0.6 10000 3 20 1500 10 2 6
0.690289 4.35684 0.5 100000 3 25 1000 5 1 4
0.635025 16.2612 0.6 10000 3 25 1500 10 0.5 10
0.75608 6.00483 0.5 50000 3 20 1500 10 2 4
0.731834 8.69855 0.6 50000 3 20 1000 10 2 4
0.750601 9.94948 0.65 50000 3 20 1000 10 1 4
0.710978 8.82793 0.6 100000 3 25 1500 10 1 4
0.698528 4.54906 0.5 10000 3 25 1500 10 0.5 4
0.604148 3.90995 0.5 10000 3 25 1000 10 0.5 10
0.864631 14.9975 0.6 50000 3 25 1500 5 2 4
0.774523 9.98377 0.65 10000 3 25 1000 5 0.5 4
0.929967 14.5478 0.6 100000 3 20 1000 5 2 4
0.688701 4.53093 0.5 100000 3 25 1500 10 2 4
0.647313 4.14034 0.5 50000 3 50 1500 5 1 6
0.753744 10.0571 0.65 10000 3 20 1500 5 0.5 10
0.712679 15.1386 0.6 10000 3 20 1500 5 0.5 4
0.969354 14.6133 0.65 50000 3 25 1000 5 2 4
0.708072 8.60039 0.6 50000 3 25 1000 10 0.5 4
0.727103 8.52142 0.6 100000 3 25 1000 10 2 4
0.736051 9.82283 0.65 50000 3 20 1500 10 0.5 4
