# Testing 1440 configurations 
# Reading [8] trace.out files from [../experiment-results/Jul-18-10/trace]
# -> Parrot_l1_sp-07.latency_trace.out
# -> Parrot_l1_sp-08.latency_trace.out
# -> Parrot_l1_sp-06.latency_trace.out
# -> Parrot_l1_sp-03.latency_trace.out
# -> Parrot_l1_sp-04.latency_trace.out
# -> Parrot_l1_sp-05.latency_trace.out
# -> Parrot_l1_sp-01.latency_trace.out
# -> Parrot_l1_sp-02.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
sp-07 0 0 7940207 0.65 100000 3 10 500 5 3 6
sp-08 0 0 8196209 0.65 100000 3 10 500 5 3 6
sp-06 0 0 7684209 0.65 100000 3 10 500 5 3 6
sp-03 0 0 6916209 0.65 100000 3 10 500 5 3 6
sp-04 0 0 7172207 0.65 100000 3 10 500 5 3 6
sp-05 0 0 7428207 0.65 100000 3 10 500 5 3 6
sp-01 0 0 6404209 0.65 100000 3 10 500 5 3 6
sp-02 0.013438 0.0031999 6660209 0.65 100000 3 10 500 5 3 6
sp-07 0 0 7940207 0.65 100000 3 20 1000 5 2 6
sp-08 0 0 8196209 0.65 100000 3 20 1000 5 2 6
sp-06 0 0 7684209 0.65 100000 3 20 1000 5 2 6
sp-03 0 0 6916209 0.65 100000 3 20 1000 5 2 6
sp-04 0 0 7172207 0.65 100000 3 20 1000 5 2 6
sp-05 0 0 7428207 0.65 100000 3 20 1000 5 2 6
sp-01 0 0 6404209 0.65 100000 3 20 1000 5 2 6
sp-02 0 0 6660209 0.65 100000 3 20 1000 5 2 6
sp-07 0 0 7940207 0.5 100000 3 10 200 5 3 4
sp-08 0 0 8196209 0.5 100000 3 10 200 5 3 4
sp-06 0 0 7684209 0.5 100000 3 10 200 5 3 4
sp-03 0 0 6916209 0.5 100000 3 10 200 5 3 4
sp-04 0 0 7172207 0.5 100000 3 10 200 5 3 4
sp-05 0.525808 0.710266 7428207 0.5 100000 3 10 200 5 3 4
sp-01 0 0 6404209 0.5 100000 3 10 200 5 3 4
sp-02 0.819825 1.60343 6660209 0.5 100000 3 10 200 5 3 4
sp-07 0.582177 0.676333 7940207 0.65 100000 3 20 200 5 3 2
sp-08 0.536859 0.156134 8196209 0.65 100000 3 20 200 5 3 2
sp-06 0.582885 0.713407 7684209 0.65 100000 3 20 200 5 3 2
sp-03 0.753883 1.097 6916209 0.65 100000 3 20 200 5 3 2
sp-04 0.756254 1.61956 7172207 0.65 100000 3 20 200 5 3 2
sp-05 0.740557 1.5782 7428207 0.65 100000 3 20 200 5 3 2
sp-01 0.883046 2.09003 6404209 0.65 100000 3 20 200 5 3 2
sp-02 0.7831 1.18353 6660209 0.65 100000 3 20 200 5 3 2
sp-07 0 0 7940207 0.65 100000 3 10 200 5 2 2
sp-08 0.555087 0.690946 8196209 0.65 100000 3 10 200 5 2 2
sp-06 0.539471 0.164593 7684209 0.65 100000 3 10 200 5 2 2
sp-03 0.634916 0.482808 6916209 0.65 100000 3 10 200 5 2 2
sp-04 0.692563 0.0118075 7172207 0.65 100000 3 10 200 5 2 2
sp-05 0.63092 0.135266 7428207 0.65 100000 3 10 200 5 2 2
sp-01 0.800725 1.21776 6404209 0.65 100000 3 10 200 5 2 2
sp-02 0.819825 1.60343 6660209 0.65 100000 3 10 200 5 2 2
sp-07 0.6824 0.00485579 7940207 0.5 10000 3 10 50 5 2 2
sp-08 0.504179 1.09022 8196209 0.5 10000 3 10 50 5 2 2
sp-06 0.791872 7.9732 7684209 0.5 10000 3 10 50 5 2 2
sp-03 0.45948 0.234218 6916209 0.5 10000 3 10 50 5 2 2
sp-04 0 0 7172207 0.5 10000 3 10 50 5 2 2
sp-05 0.819068 8.39506 7428207 0.5 10000 3 10 50 5 2 2
sp-01 0 0 6404209 0.5 10000 3 10 50 5 2 2
sp-02 0.971997 7.31743 6660209 0.5 10000 3 10 50 5 2 2
sp-07 0.673812 0.39019 7940207 0.5 100000 3 10 1000 5 3 2
sp-08 0.627877 0.255556 8196209 0.5 100000 3 10 1000 5 3 2
sp-06 0.699904 0.499995 7684209 0.5 100000 3 10 1000 5 3 2
sp-03 0.633759 0.261461 6916209 0.5 100000 3 10 1000 5 3 2
sp-04 0.758652 0.754053 7172207 0.5 100000 3 10 1000 5 3 2
sp-05 0.722544 0.260322 7428207 0.5 100000 3 10 1000 5 3 2
sp-01 0.878986 1.35899 6404209 0.5 100000 3 10 1000 5 3 2
sp-02 0.780788 0.172271 6660209 0.5 100000 3 10 1000 5 3 2
sp-07 0 0 7940207 0.5 100000 3 20 500 5 2 4
sp-08 0 0 8196209 0.5 100000 3 20 500 5 2 4
sp-06 0 0 7684209 0.5 100000 3 20 500 5 2 4
sp-03 0 0 6916209 0.5 100000 3 20 500 5 2 4
sp-04 0 0 7172207 0.5 100000 3 20 500 5 2 4
sp-05 0 0 7428207 0.5 100000 3 20 500 5 2 4
sp-01 0 0 6404209 0.5 100000 3 20 500 5 2 4
sp-02 0.0135131 0.0031999 6660209 0.5 100000 3 20 500 5 2 4
sp-07 0.673812 0.39019 7940207 0.65 100000 3 10 1000 5 2 2
sp-08 0.623606 0.035469 8196209 0.65 100000 3 10 1000 5 2 2
sp-06 0.537883 0.111357 7684209 0.65 100000 3 10 1000 5 2 2
sp-03 0 0 6916209 0.65 100000 3 10 1000 5 2 2
sp-04 0.709295 0.720706 7172207 0.65 100000 3 10 1000 5 2 2
sp-05 0.625347 0.315164 7428207 0.65 100000 3 10 1000 5 2 2
sp-01 0.611974 0.1454 6404209 0.65 100000 3 10 1000 5 2 2
sp-02 0.780788 0.172271 6660209 0.65 100000 3 10 1000 5 2 2
sp-07 0 0 7940207 0.5 200000 3 50 1000 5 3 4
sp-08 0 0 8196209 0.5 200000 3 50 1000 5 3 4
sp-06 0 0 7684209 0.5 200000 3 50 1000 5 3 4
sp-03 0 0 6916209 0.5 200000 3 50 1000 5 3 4
sp-04 0 0 7172207 0.5 200000 3 50 1000 5 3 4
sp-05 0 0 7428207 0.5 200000 3 50 1000 5 3 4
sp-01 0 0 6404209 0.5 200000 3 50 1000 5 3 4
sp-02 0 0 6660209 0.5 200000 3 50 1000 5 3 4
sp-07 0 0 7940207 0.65 200000 3 50 200 5 2 4
sp-08 0 0 8196209 0.65 200000 3 50 200 5 2 4
sp-06 0 0 7684209 0.65 200000 3 50 200 5 2 4
sp-03 0 0 6916209 0.65 200000 3 50 200 5 2 4
sp-04 0 0 7172207 0.65 200000 3 50 200 5 2 4
sp-05 0.5348 0.0868385 7428207 0.65 200000 3 50 200 5 2 4
sp-01 0 0 6404209 0.65 200000 3 50 200 5 2 4
sp-02 0 0 6660209 0.65 200000 3 50 200 5 2 4
sp-07 0 0 7940207 0.65 200000 3 75 200 5 3 4
sp-08 0 0 8196209 0.65 200000 3 75 200 5 3 4
sp-06 0.595196 0.711859 7684209 0.65 200000 3 75 200 5 3 4
sp-03 0 0 6916209 0.65 200000 3 75 200 5 3 4
sp-04 0 0 7172207 0.65 200000 3 75 200 5 3 4
sp-05 0 0 7428207 0.65 200000 3 75 200 5 3 4
sp-01 0 0 6404209 0.65 200000 3 75 200 5 3 4
sp-02 0 0 6660209 0.65 200000 3 75 200 5 3 4
sp-07 0.684391 0.0795091 7940207 0.65 100000 3 20 1000 5 3 2
sp-08 0.562603 0.133267 8196209 0.65 100000 3 20 1000 5 3 2
sp-06 0.73439 0.522303 7684209 0.65 100000 3 20 1000 5 3 2
sp-03 0.806975 0.233989 6916209 0.65 100000 3 20 1000 5 3 2
sp-04 0.499736 0.147135 7172207 0.65 100000 3 20 1000 5 3 2
sp-05 0.76845 0.232454 7428207 0.65 100000 3 20 1000 5 3 2
sp-01 0.88086 0.364497 6404209 0.65 100000 3 20 1000 5 3 2
sp-02 0.709018 0.0912072 6660209 0.65 100000 3 20 1000 5 3 2
sp-07 0 0 7940207 0.65 200000 3 20 1000 5 3 6
sp-08 0 0 8196209 0.65 200000 3 20 1000 5 3 6
sp-06 0 0 7684209 0.65 200000 3 20 1000 5 3 6
sp-03 0 0 6916209 0.65 200000 3 20 1000 5 3 6
sp-04 0 0 7172207 0.65 200000 3 20 1000 5 3 6
sp-05 0 0 7428207 0.65 200000 3 20 1000 5 3 6
sp-01 0 0 6404209 0.65 200000 3 20 1000 5 3 6
sp-02 0 0 6660209 0.65 200000 3 20 1000 5 3 6
sp-07 0 0 7940207 0.5 200000 3 100 500 5 3 6
sp-08 0 0 8196209 0.5 200000 3 100 500 5 3 6
sp-06 0 0 7684209 0.5 200000 3 100 500 5 3 6
sp-03 0 0 6916209 0.5 200000 3 100 500 5 3 6
sp-04 0 0 7172207 0.5 200000 3 100 500 5 3 6
sp-05 0 0 7428207 0.5 200000 3 100 500 5 3 6
sp-01 0 0 6404209 0.5 200000 3 100 500 5 3 6
sp-02 0 0 6660209 0.5 200000 3 100 500 5 3 6
sp-07 0 0 7940207 0.65 200000 3 100 500 5 2 4
sp-08 0 0 8196209 0.65 200000 3 100 500 5 2 4
sp-06 0 0 7684209 0.65 200000 3 100 500 5 2 4
sp-03 0 0 6916209 0.65 200000 3 100 500 5 2 4
sp-04 0 0 7172207 0.65 200000 3 100 500 5 2 4
sp-05 0 0 7428207 0.65 200000 3 100 500 5 2 4
sp-01 0 0 6404209 0.65 200000 3 100 500 5 2 4
sp-02 0 0 6660209 0.65 200000 3 100 500 5 2 4
sp-07 0 0 7940207 0.5 200000 3 10 100 5 2 6
sp-08 0 0 8196209 0.5 200000 3 10 100 5 2 6
sp-06 0 0 7684209 0.5 200000 3 10 100 5 2 6
sp-03 0 0 6916209 0.5 200000 3 10 100 5 2 6
sp-04 0 0 7172207 0.5 200000 3 10 100 5 2 6
sp-05 0 0 7428207 0.5 200000 3 10 100 5 2 6
sp-01 0 0 6404209 0.5 200000 3 10 100 5 2 6
sp-02 0 0 6660209 0.5 200000 3 10 100 5 2 6
sp-07 0 0 7940207 0.65 100000 3 20 200 5 3 4
sp-08 0 0 8196209 0.65 100000 3 20 200 5 3 4
sp-06 0 0 7684209 0.65 100000 3 20 200 5 3 4
sp-03 0 0 6916209 0.65 100000 3 20 200 5 3 4
sp-04 0 0 7172207 0.65 100000 3 20 200 5 3 4
sp-05 0 0 7428207 0.65 100000 3 20 200 5 3 4
sp-01 0 0 6404209 0.65 100000 3 20 200 5 3 4
sp-02 0.012432 0.00549548 6660209 0.65 100000 3 20 200 5 3 4
sp-07 0 0 7940207 0.5 100000 3 10 200 5 3 6
sp-08 0 0 8196209 0.5 100000 3 10 200 5 3 6
sp-06 0 0 7684209 0.5 100000 3 10 200 5 3 6
sp-03 0 0 6916209 0.5 100000 3 10 200 5 3 6
sp-04 0 0 7172207 0.5 100000 3 10 200 5 3 6
sp-05 0 0 7428207 0.5 100000 3 10 200 5 3 6
sp-01 0 0 6404209 0.5 100000 3 10 200 5 3 6
sp-02 0.819825 1.60343 6660209 0.5 100000 3 10 200 5 3 6
sp-07 0 0 7940207 0.65 100000 3 10 200 5 2 4
sp-08 0 0 8196209 0.65 100000 3 10 200 5 2 4
sp-06 0 0 7684209 0.65 100000 3 10 200 5 2 4
sp-03 0 0 6916209 0.65 100000 3 10 200 5 2 4
sp-04 0 0 7172207 0.65 100000 3 10 200 5 2 4
sp-05 0 0 7428207 0.65 100000 3 10 200 5 2 4
sp-01 0 0 6404209 0.65 100000 3 10 200 5 2 4
sp-02 0.819825 1.60343 6660209 0.65 100000 3 10 200 5 2 4
sp-07 0.530843 0.550773 7940207 0.65 200000 3 10 200 5 3 2
sp-08 0.496694 0.780867 8196209 0.65 200000 3 10 200 5 3 2
sp-06 0.67674 2.62128 7684209 0.65 200000 3 10 200 5 3 2
sp-03 0.743848 0.260153 6916209 0.65 200000 3 10 200 5 3 2
sp-04 0.666184 0.0285251 7172207 0.65 200000 3 10 200 5 3 2
sp-05 0.597211 0.791637 7428207 0.65 200000 3 10 200 5 3 2
sp-01 0.727367 1.01576 6404209 0.65 200000 3 10 200 5 3 2
sp-02 0.645477 0.907776 6660209 0.65 200000 3 10 200 5 3 2
sp-07 0 0 7940207 0.65 200000 3 75 50 5 3 6
sp-08 0 0 8196209 0.65 200000 3 75 50 5 3 6
sp-06 0 0 7684209 0.65 200000 3 75 50 5 3 6
sp-03 0 0 6916209 0.65 200000 3 75 50 5 3 6
sp-04 0 0 7172207 0.65 200000 3 75 50 5 3 6
sp-05 0 0 7428207 0.65 200000 3 75 50 5 3 6
sp-01 0 0 6404209 0.65 200000 3 75 50 5 3 6
sp-02 0 0 6660209 0.65 200000 3 75 50 5 3 6
sp-07 0 0 7940207 0.5 10000 3 10 50 5 2 4
sp-08 0 0 8196209 0.5 10000 3 10 50 5 2 4
sp-06 0 0 7684209 0.5 10000 3 10 50 5 2 4
sp-03 0 0 6916209 0.5 10000 3 10 50 5 2 4
sp-04 0 0 7172207 0.5 10000 3 10 50 5 2 4
sp-05 0 0 7428207 0.5 10000 3 10 50 5 2 4
sp-01 0 0 6404209 0.5 10000 3 10 50 5 2 4
sp-02 0.0283775 0.00204251 6660209 0.5 10000 3 10 50 5 2 4
sp-07 0 0 7940207 0.5 200000 3 25 50 5 3 2
sp-08 0 0 8196209 0.5 200000 3 25 50 5 3 2
sp-06 0.685973 7.57156 7684209 0.5 200000 3 25 50 5 3 2
sp-03 0.612179 1.75194 6916209 0.5 200000 3 25 50 5 3 2
sp-04 0.626607 0.11547 7172207 0.5 200000 3 25 50 5 3 2
sp-05 0.619154 0.328364 7428207 0.5 200000 3 25 50 5 3 2
sp-01 0.749501 3.18654 6404209 0.5 200000 3 25 50 5 3 2
sp-02 0.788783 7.77842 6660209 0.5 200000 3 25 50 5 3 2
sp-07 0 0 7940207 0.5 200000 3 25 200 5 2 6
sp-08 0 0 8196209 0.5 200000 3 25 200 5 2 6
sp-06 0 0 7684209 0.5 200000 3 25 200 5 2 6
sp-03 0 0 6916209 0.5 200000 3 25 200 5 2 6
sp-04 0 0 7172207 0.5 200000 3 25 200 5 2 6
sp-05 0 0 7428207 0.5 200000 3 25 200 5 2 6
sp-01 0 0 6404209 0.5 200000 3 25 200 5 2 6
sp-02 0 0 6660209 0.5 200000 3 25 200 5 2 6
sp-07 0 0 7940207 0.65 100000 3 25 1000 5 3 6
sp-08 0 0 8196209 0.65 100000 3 25 1000 5 3 6
sp-06 0 0 7684209 0.65 100000 3 25 1000 5 3 6
