# Testing 1440 configurations 
# Reading [8] trace.out files from [../experiment-results/Jul-17-17/trace]
# -> Parrot_l1_sp-07.latency_trace.out
# -> Parrot_l1_sp-08.latency_trace.out
# -> Parrot_l1_sp-06.latency_trace.out
# -> Parrot_l1_sp-03.latency_trace.out
# -> Parrot_l1_sp-04.latency_trace.out
# -> Parrot_l1_sp-05.latency_trace.out
# -> Parrot_l1_sp-01.latency_trace.out
# -> Parrot_l1_sp-02.latency_trace.out
# Done loading files.
benchmark pct err len threshold phase_length stable_min window_start summarize proj_dist proj_delta p_j
sp-07 0 0 3972209 0.65 200000 3 75 200 5 3 4
sp-08 0.0451197 0.00219995 4100209 0.65 200000 3 75 200 5 3 4
sp-06 0 0 3844209 0.65 200000 3 75 200 5 3 4
sp-03 0 0 3460209 0.65 200000 3 75 200 5 3 4
sp-04 0 0 3588209 0.65 200000 3 75 200 5 3 4
sp-05 0 0 3716209 0.65 200000 3 75 200 5 3 4
sp-01 0 0 3204209 0.65 200000 3 75 200 5 3 4
sp-02 0 0 3332207 0.65 200000 3 75 200 5 3 4
sp-07 0 0 3972209 0.5 200000 3 100 500 5 3 6
sp-08 0 0 4100209 0.5 200000 3 100 500 5 3 6
sp-06 0 0 3844209 0.5 200000 3 100 500 5 3 6
sp-03 0 0 3460209 0.5 200000 3 100 500 5 3 6
sp-04 0 0 3588209 0.5 200000 3 100 500 5 3 6
sp-05 0 0 3716209 0.5 200000 3 100 500 5 3 6
sp-01 0 0 3204209 0.5 200000 3 100 500 5 3 6
sp-02 0 0 3332207 0.5 200000 3 100 500 5 3 6
sp-07 0 0 3972209 0.65 200000 3 50 1000 5 2 2
sp-08 0 0 4100209 0.65 200000 3 50 1000 5 2 2
sp-06 0 0 3844209 0.65 200000 3 50 1000 5 2 2
sp-03 0 0 3460209 0.65 200000 3 50 1000 5 2 2
sp-04 0.595899 0.216714 3588209 0.65 200000 3 50 1000 5 2 2
sp-05 0 0 3716209 0.65 200000 3 50 1000 5 2 2
sp-01 0.536235 0.160575 3204209 0.65 200000 3 50 1000 5 2 2
sp-02 0 0 3332207 0.65 200000 3 50 1000 5 2 2
sp-07 0.491467 0.71544 3972209 0.65 200000 3 20 500 5 2 2
sp-08 0.0437783 0.00219995 4100209 0.65 200000 3 20 500 5 2 2
sp-06 0.429271 0.293884 3844209 0.65 200000 3 20 500 5 2 2
sp-03 0 0 3460209 0.65 200000 3 20 500 5 2 2
sp-04 0.485677 0.184419 3588209 0.65 200000 3 20 500 5 2 2
sp-05 0 0 3716209 0.65 200000 3 20 500 5 2 2
sp-01 0 0 3204209 0.65 200000 3 20 500 5 2 2
sp-02 0 0 3332207 0.65 200000 3 20 500 5 2 2
sp-07 0 0 3972209 0.5 200000 3 20 100 5 3 6
sp-08 0.04351 0.00219995 4100209 0.5 200000 3 20 100 5 3 6
sp-06 0 0 3844209 0.5 200000 3 20 100 5 3 6
sp-03 0 0 3460209 0.5 200000 3 20 100 5 3 6
sp-04 0 0 3588209 0.5 200000 3 20 100 5 3 6
sp-05 0 0 3716209 0.5 200000 3 20 100 5 3 6
sp-01 0 0 3204209 0.5 200000 3 20 100 5 3 6
sp-02 0 0 3332207 0.5 200000 3 20 100 5 3 6
sp-07 0 0 3972209 0.5 200000 3 20 50 5 2 2
sp-08 0.0434124 0.00219995 4100209 0.5 200000 3 20 50 5 2 2
sp-06 0 0 3844209 0.5 200000 3 20 50 5 2 2
sp-03 0.652608 8.04598 3460209 0.5 200000 3 20 50 5 2 2
sp-04 0 0 3588209 0.5 200000 3 20 50 5 2 2
sp-05 0 0 3716209 0.5 200000 3 20 50 5 2 2
sp-01 0 0 3204209 0.5 200000 3 20 50 5 2 2
sp-02 0.631025 7.92858 3332207 0.5 200000 3 20 50 5 2 2
sp-07 0 0 3972209 0.5 200000 3 100 200 5 2 2
sp-08 0.0339983 0.00121958 4100209 0.5 200000 3 100 200 5 2 2
sp-06 0 0 3844209 0.5 200000 3 100 200 5 2 2
sp-03 0 0 3460209 0.5 200000 3 100 200 5 2 2
sp-04 0.432697 0.127481 3588209 0.5 200000 3 100 200 5 2 2
sp-05 0.432056 0.0442909 3716209 0.5 200000 3 100 200 5 2 2
sp-01 0.558643 1.01282 3204209 0.5 200000 3 100 200 5 2 2
sp-02 0 0 3332207 0.5 200000 3 100 200 5 2 2
sp-07 0 0 3972209 0.5 200000 3 25 1000 5 2 4
sp-08 0.0426808 0.00139997 4100209 0.5 200000 3 25 1000 5 2 4
sp-06 0 0 3844209 0.5 200000 3 25 1000 5 2 4
sp-03 0 0 3460209 0.5 200000 3 25 1000 5 2 4
sp-04 0 0 3588209 0.5 200000 3 25 1000 5 2 4
sp-05 0 0 3716209 0.5 200000 3 25 1000 5 2 4
sp-01 0 0 3204209 0.5 200000 3 25 1000 5 2 4
sp-02 0 0 3332207 0.5 200000 3 25 1000 5 2 4
sp-07 0 0 3972209 0.5 200000 3 50 200 5 3 6
sp-08 0.0438514 0.00219995 4100209 0.5 200000 3 50 200 5 3 6
